State Name,Industry,Year,Number of Jobs
Tasmania,Public Administration and Safety,2022-23,3
Tasmania,Education and Training,2022-23,13
Tasmania,Health Care and Social Assistance,2022-23,175
Tasmania,Arts and Recreation Services,2022-23,3
Tasmania,Other Services,2022-23,30
Northern Territory,"Agriculture, Forestry and Fishing",2022-23,53
Northern Territory,Mining,2022-23,38
Northern Territory,Manufacturing,2022-23,55
Northern Territory,"Electricity, Gas, Water and Waste Services",2022-23,3
Northern Territory,Construction,2022-23,103
Northern Territory,Wholesale Trade,2022-23,27
Northern Territory,Retail Trade,2022-23,107
Northern Territory,Accommodation and Food Services,2022-23,250
Northern Territory,"Transport, Postal and Warehousing",2022-23,49
Northern Territory,Information Media and Telecommunications,2022-23,152
Northern Territory,Financial and Insurance Services,2022-23,5
Northern Territory,"Rental, Hiring and Real Estate Services",2022-23,17
Northern Territory,"Professional, Scientific and Technical Services",2022-23,105
Northern Territory,Administrative and Support Services,2022-23,77
Northern Territory,Public Administration and Safety,2022-23,37
Northern Territory,Education and Training,2022-23,48
Northern Territory,Health Care and Social Assistance,2022-23,255
Northern Territory,Arts and Recreation Services,2022-23,23
Northern Territory,Other Services,2022-23,112
Australian Capital Territory,"Agriculture, Forestry and Fishing",2022-23,67
Australian Capital Territory,Mining,2022-23,68
Australian Capital Territory,Manufacturing,2022-23,49
Australian Capital Territory,"Electricity, Gas, Water and Waste Services",2022-23,6
Australian Capital Territory,Construction,2022-23,134
Australian Capital Territory,Wholesale Trade,2022-23,24
Australian Capital Territory,Retail Trade,2022-23,88
Australian Capital Territory,Accommodation and Food Services,2022-23,197
Australian Capital Territory,"Transport, Postal and Warehousing",2022-23,4
Australian Capital Territory,Information Media and Telecommunications,2022-23,15
Australian Capital Territory,Financial and Insurance Services,2022-23,13
Australian Capital Territory,"Rental, Hiring and Real Estate Services",2022-23,13
Australian Capital Territory,"Professional, Scientific and Technical Services",2022-23,170
Australian Capital Territory,Administrative and Support Services,2022-23,80
Australian Capital Territory,Public Administration and Safety,2022-23,70
Australian Capital Territory,Education and Training,2022-23,100
Australian Capital Territory,Health Care and Social Assistance,2022-23,104
Australian Capital Territory,Arts and Recreation Services,2022-23,14
Australian Capital Territory,Other Services,2022-23,61
